schemaTuple,visited,timesVisited
checkoutnote,False,0
checkoutdiscount,True,23
checkoutdiscountname,True,23
checkouttranslateddiscountname,True,23
checkoutvouchercode,True,23
checkoutgiftcards,True,3
checkoutid,True,23
checkoutprivatemetadata,True,5
checkoutmetadata,True,5
checkoutavailableshippingmethods,True,29
checkoutavailablepaymentgateways,True,26
checkoutemail,True,23
checkoutisshippingrequired,True,23
checkoutlines,True,26
checkoutshippingprice,True,23
checkoutsubtotalprice,True,25
checkouttoken,True,42
checkouttotalprice,True,25
giftcardcode,True,3
giftcarduser,True,4
giftcardcreated,False,0
giftcardstartdate,False,0
giftcardenddate,False,0
giftcardlastusedon,False,0
giftcardisactive,False,0
giftcardinitialbalance,False,0
giftcardcurrentbalance,True,4
giftcardid,True,8
giftcarddisplaycode,True,10
checkoutlineid,True,26
checkoutlinevariant,True,25
checkoutlinequantity,True,32
checkoutlinetotalprice,True,26
checkoutlinerequiresshipping,False,0
giftcardcountableconnectionpageinfo,False,0
giftcardcountableconnectionedges,True,2
giftcardcountableconnectiontotalcount,True,1
giftcardcountableedgenode,True,2
giftcardcountableedgecursor,False,0
ordercountableconnectionpageinfo,True,64
ordercountableconnectionedges,True,143
ordercountableconnectiontotalcount,True,110
ordercountableedgenode,True,143
ordercountableedgecursor,False,0
orderid,True,145
ordercreated,True,27
orderstatus,True,16
orderuser,True,2
orderlanguagecode,False,0
ordertrackingclientid,False,0
orderbillingaddress,True,18
ordershippingaddress,True,14
ordershippingmethod,False,0
ordershippingmethodname,False,0
ordershippingprice,True,6
ordertoken,True,5
ordervoucher,False,0
ordergiftcards,True,1
orderdiscount,False,0
orderdiscountname,False,0
ordertranslateddiscountname,False,0
orderdisplaygrossprices,False,0
ordercustomernote,False,0
orderweight,False,0
orderprivatemetadata,True,12
ordermetadata,True,12
orderfulfillments,True,12
orderlines,True,10
orderactions,False,0
orderavailableshippingmethods,True,2
orderinvoices,True,2
ordernumber,True,89
orderispaid,True,1
orderpaymentstatus,True,15
orderpaymentstatusdisplay,True,6
orderpayments,True,1
ordertotal,True,70
ordersubtotal,True,6
orderstatusdisplay,True,6
ordercanfinalize,True,4
ordertotalauthorized,False,0
ordertotalcaptured,False,0
orderevents,True,4
ordertotalbalance,False,0
orderuseremail,True,24
orderisshippingrequired,False,0
fulfillmentid,True,1
fulfillmentfulfillmentorder,True,2
fulfillmentstatus,True,3
fulfillmenttrackingnumber,True,1
fulfillmentcreated,False,0
fulfillmentprivatemetadata,True,4
fulfillmentmetadata,True,4
fulfillmentlines,True,1
fulfillmentstatusdisplay,False,0
fulfillmentwarehouse,True,1
fulfillmentlineid,False,0
fulfillmentlinequantity,True,2
fulfillmentlineorderline,True,2
orderlineid,True,16
orderlineproductname,True,6
orderlinevariantname,True,1
orderlineproductsku,False,0
orderlineisshippingrequired,False,0
orderlinequantity,True,6
orderlinequantityfulfilled,False,0
orderlinetaxrate,False,0
orderlinedigitalcontenturl,False,0
orderlinethumbnail,True,1
orderlineunitprice,True,6
orderlinetotalprice,True,5
orderlinevariant,True,8
orderlinetranslatedproductname,False,0
orderlinetranslatedvariantname,False,0
orderlineallocations,True,2
allocationid,True,2
